Project A,Project B,StarBased,AdjustedStarBased,StarTimeBased,ContributorBased,LanguageBased,BranchBased,ComplexityBased,SimilarityRating
reactjs/redux,gulpjs/gulp,8.017535534314057,14.937689457729874,5.636978579481398,1.1510791366906474,0.0,75.0,39.59183673469388,C
reactjs/redux,golang/go,5.053319573443413,12.36948467497474,3.9482641252552755,0.2117896223085069,0.0,11.11111111111111,5.125833938833477,D
reactjs/redux,facebook/react,13.692751290820091,51.58302458740317,20.714985308521058,3.5099193372574664,0.0,6.521739130434782,6.5540540540540535,A
reactjs/redux,Microsoft/vscode,6.768267567344921,17.29538565173459,3.9678675754625123,0.398765114484178,0.0,3.6585365853658534,1.9302522262574,C
reactjs/redux,facebook/immutable-js,11.799402809731264,21.986591873033245,7.550300767475628,2.8720626631853787,0.0,100.0,47.39046391752577,A
reactjs/redux,callemall/material-ui,11.062315746670732,22.907544627820815,5.458555412607977,1.8374024666498865,0.0,66.66666666666666,8.619349105853605,C
reactjs/redux,tensorflow/tensorflow,4.298225958868744,18.57527787133715,2.8558476881233004,0.08710801393728224,0.0,18.75,5.017133251438547,B
reactjs/redux,facebook/react-native,10.427249879685577,32.83933984506568,9.243589743589743,1.1481342817920879,0.0,5.88235294117647,4.519247568574923,D
reactjs/redux,vuejs/vue,8.047869381081602,29.84169754125968,7.674943566591422,0.45871559633027525,0.0,15.789473684210526,12.727570936526162,A
reactjs/redux,electron/electron,8.045721221930002,16.743853149208487,5.83354287151119,0.5014515703351808,0.0,7.6923076923076925,11.23335263462652,C
reactjs/redux,docker/docker,4.885703578789583,13.173627484001345,3.451581975071908,0.27654202236383313,0.0,37.5,2.8304639626495476,D
reactjs/redux,apple/swift,4.343418829672861,11.906365779723812,3.606789250353607,0.08090614886731393,0.0,4.761904761904762,5.9696899761520115,D
reactjs/redux,nylas/nylas-mail,1.3510963505302487,11.537222043184016,10.893854748603351,0.14652014652014653,0.0,100.0,20.618556701030926,C
reactjs/redux,nodejs/node,9.644921808403465,26.199898955877398,10.18801221275912,1.1328339119312991,0.0,2.34375,4.319750612335783,A
reactjs/redux,Semantic-Org/Semantic-UI,6.610227143882989,14.727180868979453,3.2304173813607777,0.5097706032285472,0.0,16.666666666666664,13.479242661108215,C
reactjs/redux,neovim/neovim,3.500936464486385,7.534105002066969,1.8518518518518516,0.3412969283276451,0.0,33.33333333333333,9.964047252182844,D
reactjs/redux,Dogfalo/materialize,5.08020374030713,11.253789154597508,3.6288814066591843,0.41841004184100417,0.0,15.0,14.10909090909091,C
reactjs/redux,driftyco/ionic,5.468534227658315,11.670596160323342,1.984126984126984,0.2097535395909806,0.0,15.789473684210526,6.318189219996744,C
reactjs/redux,atom/atom,5.771297724192719,15.598686426406196,4.2105263157894735,0.5880969183721477,0.0,3.5294117647058822,5.353570196619524,C
reactjs/redux,chartjs/Chart.js,5.832775919732441,13.794849079288744,6.559633027522936,0.15037593984962408,0.0,50.0,25.559947299077734,A
gulpjs/gulp,golang/go,5.764259865586766,13.909102249573788,3.0493273542600896,0.34918523445294314,12.5,14.814814814814813,6.524228708460292,D
gulpjs/gulp,facebook/react,10.043682252062773,38.72094473782693,7.334621993127148,2.2431403965551775,25.0,8.695652173913043,9.173110033411012,C
gulpjs/gulp,Microsoft/vscode,7.125226262958696,18.00490664892511,2.4942263279445727,0.6492687846696924,28.57142857142857,4.878048780487805,2.5124251328511917,C
gulpjs/gulp,facebook/immutable-js,9.746258324779797,18.620878369133944,2.522654910604947,1.6833245660178853,40.0,75.0,40.507336128438176,C
gulpjs/gulp,callemall/material-ui,9.0066488042076,18.869807476402343,2.886734244160423,0.9399358092618064,50.0,50.0,12.255567401209824,C
gulpjs/gulp,tensorflow/tensorflow,4.1007689547839075,17.58493076635203,1.6079451406952,0.0690035881865857,15.384615384615385,25.0,6.442048136713723,A
gulpjs/gulp,facebook/react-native,8.409833921799398,26.741236641856208,3.6230757269475977,0.6183115338882282,11.11111111111111,7.8431372549019605,6.079949225039299,D
gulpjs/gulp,vuejs/vue,7.57043047103899,27.934633456692588,4.019053289669545,0.8681370248709526,66.66666666666666,21.052631578947366,17.250094678071704,C
gulpjs/gulp,electron/electron,6.456280849208079,13.543182668718035,4.144918636782315,1.2642839776318988,0.0,10.256410256410255,14.186450492182976,C
gulpjs/gulp,docker/docker,6.774913355172578,17.801155973221338,3.6907264657790235,0.566604995374653,12.5,50.0,3.933148547994626,D
gulpjs/gulp,apple/swift,4.773823050701717,12.92777246455154,2.1871984560952074,0.06277463904582549,6.25,6.349206349206349,7.586391588505554,D
gulpjs/gulp,nylas/nylas-mail,1.0720667063728408,9.281340638092168,10.416666666666668,0.29086678301337987,0.0,75.0,16.3265306122449,C
gulpjs/gulp,nodejs/node,11.422880266005835,30.284003492868727,7.538102430317177,2.2916666666666665,13.333333333333334,3.125,5.750019469300322,C
gulpjs/gulp,Semantic-Org/Semantic-UI,8.693485635433237,18.861491122291987,4.409171075837742,0.6960556844547563,25.0,22.22222222222222,17.337354606226533,C
gulpjs/gulp,neovim/neovim,4.296734193641409,9.239355105415461,2.5167785234899327,0.5356545028456646,5.263157894736842,25.0,12.666329695640215,D
gulpjs/gulp,Dogfalo/materialize,7.335817869349451,15.796914632625056,3.5009212950776516,0.32961460446247465,25.0,20.0,18.857620905412546,C
